comment,author,date,num_likes
르르땅 나 이런 씹덕 노래 안 좋아한다고 생각했는데 이 노래 듣고 최애됐서... 당신 최고의 아이돌이야ㅠ 너무 조아해😭👍,꿀딸기라떼,2022-10-13T23:52:30Z,9
르르땅 목소리가 진짜 최고... 넘 예뻐,콩쥐,2022-10-13T13:46:29Z,2
브금이개사기다,gota,2022-10-13T09:37:25Z,1
3:47 보도도님 거기서 뭐하세요,agin kim,2022-10-13T00:32:45Z,0
목소리가 들을때마다 너무 좋아ㅋㅋ,토니토니초파,2022-10-12T09:03:58Z,2
르르땅 사랑해!,박박,2022-10-11T00:22:16Z,2
@재로써 참 보기 좋습니다👏,이강민,2022-10-08T17:19:13Z,1
"릴파넴  2:19 초부터 뢴르르 직관 꿀잼이라서 입가에 미소가 가득하구만 
껄껄",김인용,2022-10-07T19:58:34Z,1
킹아,아아,2022-10-07T06:16:10Z,1
르르땅 진짜 기분 좋아지는 목소리 ( ´ ▽ ` )ﾉ,토끼히어로🍬,2022-10-07T02:44:51Z,1
4:05 여기 가사...,didyddn,2022-10-06T21:14:18Z,0
르르땅 사랑해!!!!,오목눈이,2022-10-06T05:50:56Z,1
최고다 rrrrr땅,온라인게임 갤러리,2022-10-04T11:51:50Z,1
주스터피스 너무 좋아요!!!,박박,2022-10-03T16:31:27Z,0
ㅠㅠ.. 노래에 힘이 있는 게 진짜 맞는거같아요...... 르르땅 마스터피스 들으면서 평소였으면 못 넘겼을 고비를 매번 이겨내게 됨...ㅠㅜ 수험생활 하면서 힘들때도 수능 다가오면서 공부를 못하겠을때도 마스터피스 들으면서 어떻게든 이겨내는 중 르르땅이 저한테 너무 힘이 되는데 제가 르르땅한테 받은 에너지들만큼 르르땅도 행복해졌으면 좋겠어요... 🥹💖💖🫶🏻🫶🏻🫶🏻,nokar,2022-10-03T11:44:04Z,11
르르땅 목소리 너무 좋아..ㅠㅠㅠ 노래 들으니까 힘이나요 ㅋㅋㅋ,영원해요,2022-10-02T10:02:42Z,4
모캡은 트래커로 하신건가...?,인부,2022-10-02T01:09:17Z,0
직접 췄대요,김유안,2022-11-28T02:52:33Z,1
목소리 너무이뻐ㅠ,sodal2,2022-09-27T19:37:26Z,4
진짜 주스터피스는 전설이다,갈배,2022-09-27T14:18:25Z,3
쭉쭉쭉~~,혜소주,2022-09-27T00:20:18Z,2
👍,WebDev,2022-09-26T18:05:20Z,1
28,아잇,2022-09-25T16:37:16Z,0
출첵하시나요 ㅋㅋ,trip2032,2022-09-26T10:55:16Z,1
담백한 이미지에 초연한 모습이 엄청매력적이지만 그만큼 또 보이지 않는 수면아래에서 더욱 열심히 발길질을 하고 있는 이세계아이돌 주르르! 파이팅!!,이름을 입력하세요,2022-09-25T15:29:59Z,10
화이팅!,여심연쇄절도범,2022-09-25T10:56:04Z,5
MASTERPIECE가 되는과정이란..,엎드려잠,2022-09-25T06:03:45Z,1
27,아잇,2022-09-24T15:18:55Z,0
멸망!!!!,김상종신,2022-09-24T00:37:38Z,1
26,아잇,2022-09-23T18:55:01Z,0
25,아잇,2022-09-22T18:14:23Z,0
"르르땅 음색이랑 진짜 잘어울린다
깜짝출연 주폭소년단도 멋지고",스턴,2022-09-21T17:17:51Z,4
조회수 낮다고 누가 뭐라 그랬었는데 뒷심이란게 있다!!!!! 조회수 꾸준히 오르는거 좋다 노래도 좋고,기찬,2022-09-21T16:55:28Z,3
서사를 알고 나니 이 노래만 한 게 없네 ㅠㅠ 르르땅 너무 조ㅠ아유,주폭도,2022-09-21T04:12:18Z,3
르르땅 원래도 좋았는데 너무 호감이네요... 후.. 후욱.....,안녕,2022-09-20T11:34:35Z,3
쥰내 이쁘다..,Z 10,2022-09-20T06:06:36Z,2
23,아잇,2022-09-19T15:26:50Z,0
22,아잇,2022-09-18T17:17:04Z,0
"실체를 모르니 대신 춰주는것도 가능하구나...
이게...아이돌",정한주,2022-09-18T03:14:42Z,3
깔거면 좀 알아보고 까라ㅋㅋㅋㅋ 웃기네,성이름,2022-10-09T01:56:56Z,3
ㅋㅋㅋ 어떻게든 음해하고싶은 살인집단 수준,park,2022-10-02T23:10:51Z,8
직접 추셨습니다~ 설명란 보시면 나와있어요~,치사량까지야_🌿,2022-09-18T04:08:58Z,24
르르땅 ㅜㅜㅜ,김종필,2022-09-17T14:24:27Z,2
주르르님 목소리 전에도 생각했지만 진짜 좋다,물어뜯다 지친 늑대,2022-09-15T21:23:45Z,3
21,아잇,2022-09-15T14:13:27Z,0
르르땅 노래좋다 ㄹㅇ,안승우,2022-09-15T10:22:42Z,2
20,아잇,2022-09-13T16:53:45Z,0
5:15 노래 잠잠해질때가 너무 좋음,닥나무한지,2022-09-12T18:26:17Z,2
19,아잇,2022-09-12T15:01:53Z,0
18,아잇,2022-09-11T17:07:42Z,0
17,아잇,2022-09-10T14:23:45Z,0
ㄹㄹㄸ ㄷㅇㅅㅋ~!,Kira,2022-09-09T20:20:45Z,1
16,아잇,2022-09-09T18:08:51Z,0
마스터피스는 안봤지만 이세돌이 주인공이라면 볼 수 있지,웨일,2022-09-09T15:06:27Z,1
15,아잇,2022-09-08T16:15:53Z,0
진심으로 너무 좋다ㅠㅠㅠ목소리가 어쩜 이렇게 이쁠까 이세돌 해줘서 너무 고마워 르르땅,권가휘,2022-09-08T11:16:47Z,3
14,아잇,2022-09-07T15:36:18Z,0
진짜 개좋아 킹아 ㅠㅠㅠㅠㅠㅠㅠ,주폭도,2022-09-07T02:10:47Z,1
?????,시그잉,2022-09-06T21:21:38Z,0
